mean_energy	error	        alpha	         beta	         gamma	        acceptance	stepsize
346.889436,	4.995764,	-2.719100,	-3.537960,	-0.133970,	49.862500,	2.000000
294.426343,	4.573429,	-2.719100,	-3.537960,	-0.121970,	51.966667,	2.000000
252.447154,	4.365931,	-2.719100,	-3.537960,	-0.109970,	53.833333,	2.000000
205.525826,	3.920707,	-2.719100,	-3.537960,	-0.097970,	55.827083,	2.000000
176.190569,	3.763821,	-2.719100,	-3.537960,	-0.085970,	58.881250,	2.000000
122.565191,	3.039538,	-2.719100,	-3.537960,	-0.073970,	61.358333,	2.000000
89.743772,	2.665650,	-2.719100,	-3.537960,	-0.061970,	64.889583,	2.000000
66.335932,	2.333993,	-2.719100,	-3.537960,	-0.049970,	68.052083,	2.000000
45.012970,	2.064700,	-2.719100,	-3.537960,	-0.037970,	72.137500,	2.000000
28.040778,	1.544889,	-2.719100,	-3.537960,	-0.025970,	77.250000,	2.000000
10.671419,	0.894560,	-2.719100,	-3.537960,	-0.013970,	76.083333,	3.000000
373.300245,	4.957420,	-2.719100,	-3.187960,	-0.133970,	49.100000,	2.000000
318.266986,	4.575390,	-2.719100,	-3.187960,	-0.121970,	51.064583,	2.000000
278.944136,	4.271080,	-2.719100,	-3.187960,	-0.109970,	53.397917,	2.000000
228.952155,	3.953709,	-2.719100,	-3.187960,	-0.097970,	55.510417,	2.000000
177.290605,	3.456704,	-2.719100,	-3.187960,	-0.085970,	58.162500,	2.000000
142.874974,	3.182521,	-2.719100,	-3.187960,	-0.073970,	61.239583,	2.000000
106.840319,	2.835298,	-2.719100,	-3.187960,	-0.061970,	64.056250,	2.000000
73.393337,	2.303803,	-2.719100,	-3.187960,	-0.049970,	68.689583,	2.000000
44.965636,	1.831526,	-2.719100,	-3.187960,	-0.037970,	72.306250,	2.000000
27.234346,	1.425136,	-2.719100,	-3.187960,	-0.025970,	77.381250,	2.000000
12.687575,	0.933434,	-2.719100,	-3.187960,	-0.013970,	79.422917,	2.500000
401.910375,	4.739309,	-2.719100,	-2.837960,	-0.133970,	48.362500,	2.000000
354.566509,	4.547473,	-2.719100,	-2.837960,	-0.121970,	50.772917,	2.000000
294.867377,	4.336226,	-2.719100,	-2.837960,	-0.109970,	52.870833,	2.000000
247.295792,	3.946470,	-2.719100,	-2.837960,	-0.097970,	55.320833,	2.000000
196.741683,	3.563969,	-2.719100,	-2.837960,	-0.085970,	58.458333,	2.000000
153.488530,	3.028253,	-2.719100,	-2.837960,	-0.073970,	60.593750,	2.000000
118.171106,	2.792138,	-2.719100,	-2.837960,	-0.061970,	63.852083,	2.000000
85.768552,	2.406745,	-2.719100,	-2.837960,	-0.049970,	67.456250,	2.000000
52.555159,	1.836734,	-2.719100,	-2.837960,	-0.037970,	71.810417,	2.000000
34.076987,	1.498123,	-2.719100,	-2.837960,	-0.025970,	76.712500,	2.000000
14.580418,	0.933977,	-2.719100,	-2.837960,	-0.013970,	79.568750,	2.500000
443.570627,	4.848630,	-2.719100,	-2.487960,	-0.133970,	47.229167,	2.000000
399.646072,	4.682374,	-2.719100,	-2.487960,	-0.121970,	49.712500,	2.000000
322.769853,	4.149308,	-2.719100,	-2.487960,	-0.109970,	51.827083,	2.000000
268.978848,	3.783831,	-2.719100,	-2.487960,	-0.097970,	54.297917,	2.000000
216.652153,	3.515385,	-2.719100,	-2.487960,	-0.085970,	57.233333,	2.000000
168.714803,	2.982328,	-2.719100,	-2.487960,	-0.073970,	59.910417,	2.000000
134.127175,	2.804839,	-2.719100,	-2.487960,	-0.061970,	63.345833,	2.000000
95.714018,	2.367953,	-2.719100,	-2.487960,	-0.049970,	66.966667,	2.000000
59.175859,	1.791507,	-2.719100,	-2.487960,	-0.037970,	71.950000,	2.000000
39.597621,	1.503326,	-2.719100,	-2.487960,	-0.025970,	76.458333,	2.000000
16.916174,	0.978993,	-2.719100,	-2.487960,	-0.013970,	79.416667,	2.500000
512.035457,	5.071706,	-2.719100,	-2.137960,	-0.133970,	46.095833,	2.000000
437.189679,	4.793991,	-2.719100,	-2.137960,	-0.121970,	48.420833,	2.000000
383.683572,	4.351008,	-2.719100,	-2.137960,	-0.109970,	50.450000,	2.000000
307.206639,	3.853973,	-2.719100,	-2.137960,	-0.097970,	52.927083,	2.000000
242.895945,	3.467159,	-2.719100,	-2.137960,	-0.085970,	56.608333,	2.000000
201.960152,	3.112281,	-2.719100,	-2.137960,	-0.073970,	58.997917,	2.000000
